Origin Country,Destination Country,HS Code,HTS / Regional Tariff Flag,Product Category,Product Description,Package Type & Weight Range,Mode of Transport,Required Documents
South Africa,United States,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Rail, CE Compliance; Commercial Invoice; FDA Compliance; Insurance Certificate; Packing List
Japan,France,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Air, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
South Africa,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Sea, Commercial Invoice; Insurance Certificate; Packing List
United States,Indonesia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
Canada,India,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Air, Certificate of Analysis; Commercial Invoice; Drug License; Import Export Code (IEC); Packing List
France,United States,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Air, CE Compliance; Commercial Invoice; FDA Compliance; Insurance Certificate; Packing List
Germany,Mexico,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Road, Commercial Invoice; Packing List
Australia,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
Japan,Mexico,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
India,France,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
UAE,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List
India,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
Brazil,Indonesia,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Brazil,United States,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Air, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
Canada,Singapore,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
Canada,United Kingdom,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Air, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
France,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Rail, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Japan,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Road, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Brazil,United States,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
Singapore,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Sea, Commercial Invoice; Packing List
United Kingdom,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Sea, Commercial Invoice; Packing List
Japan,United States,620342,Yes,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Air, Commercial Invoice; Insurance Certificate; Packing List
United States,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Sea, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
UAE,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, CE Compliance; Commercial Invoice; FDA Compliance; Insurance Certificate; Packing List
Singapore,Mexico,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Road, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
Germany,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
India,Germany,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Germany,United Kingdom,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
UAE,Canada,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Brazil,South Africa,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
United States,United Kingdom,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
China,India,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Sea, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List
France,Mexico,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
Brazil,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
France,Canada,620342,Yes,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Sea, Commercial Invoice; Packing List
India,Brazil,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Canada,United Kingdom,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
Japan,Germany,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
United States,China,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Singapore,Japan,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
United States,Canada,620342,Yes,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Road, Commercial Invoice; Packing List
Mexico,South Africa,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
France,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
South Africa,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Road, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
United States,Australia,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
United States,Japan,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
China,United States,870323,Yes,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Rail, Commercial Invoice; Packing List; Type Approval Certificate
UAE,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Air, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Australia,Germany,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
United States,Canada,870323,Yes,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
Brazil,Canada,620342,Yes,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Road, Commercial Invoice; Packing List
United Kingdom,Brazil,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
United States,Canada,870323,Yes,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
South Africa,Canada,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
Germany,United Kingdom,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
United Kingdom,Singapore,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
United Kingdom,Canada,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Road, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
France,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Air, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
Germany,United States,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Canada,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
Singapore,Mexico,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List
South Africa,UAE,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Road, Commercial Invoice; Insurance Certificate; Packing List
France,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Air, Commercial Invoice; Packing List
Canada,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Mexico,France,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
Mexico,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
Germany,Japan,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
France,Indonesia,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Sea, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Australia,Japan,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
Japan,United States,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Air, CE Compliance; Commercial Invoice; FDA Compliance; Insurance Certificate; Packing List
Indonesia,Mexico,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Indonesia,United States,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Air, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Singapore,Canada,620342,Yes,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
United States,India,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Rail, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List
Indonesia,Brazil,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
India,South Africa,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Rail, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
United States,Canada,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Sea, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Packing List; Phytosanitary Certificate
India,Singapore,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
United States,United Kingdom,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Road, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Insurance Certificate; Packing List
Australia,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Rail, Commercial Invoice; Packing List
UAE,Germany,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
UAE,France,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Australia,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
UAE,India,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, Commercial Invoice; Import Export Code (IEC); Packing List
United Kingdom,Brazil,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Brazil,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
United States,Brazil,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
Japan,Singapore,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Rail, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
